thread_id,tweet_id,user_id,event,is_rumour,tweet_class,in_reply_to_status_id,in_reply_to_user_id,support,responsetype_vs_source,responsetype_vs_previous,favorite_count,retweet_count,created_at,unix_ts,normalized_ts,relative_ts_rumour,relative_ts_event,place
521346721226711040,521346721226711040,579635019,ebola-essien,True,source,0,0,supporting,,,85,575,2014-10-12 17:08:39+00:00,1413133719.0,2014-10-12 13:08:39-04:00,0.0,0.0,
521346721226711040,521349366037356544,463260500,ebola-essien,True,direct reply,521346721226711040,579635019,,appeal-for-more-information,,5,1,2014-10-12 17:19:09+00:00,1413134349.0,2014-10-12 13:19:09-04:00,630.0,630.0,
521346721226711040,521349434719076352,430026970,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,1,1,2014-10-12 17:19:26+00:00,1413134366.0,2014-10-12 13:19:26-04:00,647.0,647.0,
521346721226711040,521350130851921921,379856833,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:22:12+00:00,1413134532.0,2014-10-12 13:22:12-04:00,813.0,813.0,"{'full_name': 'Brasília, Distrito Federal', 'url': 'https://api.twitter.com/1.1/geo/id/5722ff20ba67083b.json', 'country': 'Brasil', 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-48.285982, -16.0524045], [-47.307264, -16.0524045], [-47.307264, -15.5001029], [-48.285982, -15.5001029]]]}, 'contained_within': [], 'country_code': 'BR', 'attributes': {}, 'id': '5722ff20ba67083b', 'name': 'Brasília'}"
521346721226711040,521350466647891968,458672503,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,1,0,2014-10-12 17:23:32+00:00,1413134612.0,2014-10-12 13:23:32-04:00,893.0,893.0,
521346721226711040,521351041154289665,45378312,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:25:49+00:00,1413134749.0,2014-10-12 13:25:49-04:00,1030.0,1030.0,
521346721226711040,521351752734769152,459983485,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,4,2014-10-12 17:28:38+00:00,1413134918.0,2014-10-12 13:28:38-04:00,1199.0,1199.0,
521346721226711040,521352186949672960,378857951,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:30:22+00:00,1413135022.0,2014-10-12 13:30:22-04:00,1303.0,1303.0,
521346721226711040,521352500604309506,257640063,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:31:37+00:00,1413135097.0,2014-10-12 13:31:37-04:00,1378.0,1378.0,
521346721226711040,521352678283444224,33630394,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:32:19+00:00,1413135139.0,2014-10-12 13:32:19-04:00,1420.0,1420.0,
521346721226711040,521352738891132929,50707665,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:32:33+00:00,1413135153.0,2014-10-12 13:32:33-04:00,1434.0,1434.0,
521346721226711040,521353020484096001,471014242,ebola-essien,True,direct reply,521346721226711040,579635019,,agreed,,0,0,2014-10-12 17:33:41+00:00,1413135221.0,2014-10-12 13:33:41-04:00,1502.0,1502.0,
521346721226711040,521353434881327104,466457803,ebola-essien,True,deep reply,521353020484096001,471014242,,comment,comment,1,0,2014-10-12 17:35:19+00:00,1413135319.0,2014-10-12 13:35:19-04:00,1600.0,1600.0,
521346721226711040,521355922724388865,275127235,ebola-essien,True,direct reply,521346721226711040,579635019,,disagreed,,0,0,2014-10-12 17:45:12+00:00,1413135912.0,2014-10-12 13:45:12-04:00,2193.0,2193.0,
521346721226711040,521356252740608001,70671249,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:46:31+00:00,1413135991.0,2014-10-12 13:46:31-04:00,2272.0,2272.0,
521346721226711040,521356894343294976,194622639,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 17:49:04+00:00,1413136144.0,2014-10-12 13:49:04-04:00,2425.0,2425.0,
521346721226711040,521364652522225665,386238101,ebola-essien,True,direct reply,521346721226711040,579635019,,comment,,0,0,2014-10-12 18:19:54+00:00,1413137994.0,2014-10-12 14:19:54-04:00,4275.0,4275.0,
