thread_id,tweet_id,user_id,event,tweet_class,in_reply_to_status_id,in_reply_to_user_id,support,responsetype_vs_source,responsetype_vs_previous,favorite_count,retweet_count,created_at,place
521346721226711040,521346721226711040,579635019,ebola-essien,source,0,0,supporting,,,85,575,Sun Oct 12 17:08:39 +0000 2014,
521346721226711040,521349366037356544,463260500,ebola-essien,direct reply,521346721226711040,579635019,,appeal-for-more-information,,5,1,Sun Oct 12 17:19:09 +0000 2014,
521346721226711040,521349434719076352,430026970,ebola-essien,direct reply,521346721226711040,579635019,,comment,,1,1,Sun Oct 12 17:19:26 +0000 2014,
521346721226711040,521350130851921921,379856833,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:22:12 +0000 2014,"{'full_name': 'Brasília, Distrito Federal', 'url': 'https://api.twitter.com/1.1/geo/id/5722ff20ba67083b.json', 'country': 'Brasil', 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-48.285982, -16.0524045], [-47.307264, -16.0524045], [-47.307264, -15.5001029], [-48.285982, -15.5001029]]]}, 'contained_within': [], 'country_code': 'BR', 'attributes': {}, 'id': '5722ff20ba67083b', 'name': 'Brasília'}"
521346721226711040,521350466647891968,458672503,ebola-essien,direct reply,521346721226711040,579635019,,comment,,1,0,Sun Oct 12 17:23:32 +0000 2014,
521346721226711040,521351041154289665,45378312,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:25:49 +0000 2014,
521346721226711040,521351752734769152,459983485,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,4,Sun Oct 12 17:28:38 +0000 2014,
521346721226711040,521352186949672960,378857951,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:30:22 +0000 2014,
521346721226711040,521352500604309506,257640063,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:31:37 +0000 2014,
521346721226711040,521352678283444224,33630394,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:32:19 +0000 2014,
521346721226711040,521352738891132929,50707665,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:32:33 +0000 2014,
521346721226711040,521353020484096001,471014242,ebola-essien,direct reply,521346721226711040,579635019,,agreed,,0,0,Sun Oct 12 17:33:41 +0000 2014,
521346721226711040,521353434881327104,466457803,ebola-essien,deep reply,521353020484096001,471014242,,comment,comment,1,0,Sun Oct 12 17:35:19 +0000 2014,
521346721226711040,521355922724388865,275127235,ebola-essien,direct reply,521346721226711040,579635019,,disagreed,,0,0,Sun Oct 12 17:45:12 +0000 2014,
521346721226711040,521356252740608001,70671249,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:46:31 +0000 2014,
521346721226711040,521356894343294976,194622639,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 17:49:04 +0000 2014,
521346721226711040,521364652522225665,386238101,ebola-essien,direct reply,521346721226711040,579635019,,comment,,0,0,Sun Oct 12 18:19:54 +0000 2014,
521346721226711040,521366121484918785,2370781272,ebola-essien,deep reply,521364652522225665,386238101,,disagreed,comment,0,0,Sun Oct 12 18:25:44 +0000 2014,
521346721226711040,521366172529201153,1381490449,ebola-essien,retweet,521365931155812353,63435894,,,,0,0,Sun Oct 12 18:25:56 +0000 2014,
521346721226711040,521366394135670785,87786129,ebola-essien,retweet,521365931155812353,63435894,,,,0,0,Sun Oct 12 18:26:49 +0000 2014,
521346721226711040,521367394108071936,2747372070,ebola-essien,deep reply,521349434719076352,430026970,,agreed,comment,0,0,Sun Oct 12 18:30:47 +0000 2014,
521346721226711040,521367512551002112,148334455,ebola-essien,deep reply,521350130851921921,379856833,,comment,comment,0,0,Sun Oct 12 18:31:16 +0000 2014,
521346721226711040,521367905062379521,430026970,ebola-essien,deep reply,521367394108071936,2747372070,,disagreed,comment,0,0,Sun Oct 12 18:32:49 +0000 2014,
521346721226711040,521368022880378882,2747372070,ebola-essien,deep reply,521367905062379521,430026970,,comment,comment,0,0,Sun Oct 12 18:33:17 +0000 2014,
521346721226711040,521368940669583360,430026970,ebola-essien,deep reply,521368022880378882,2747372070,,comment,comment,0,0,Sun Oct 12 18:36:56 +0000 2014,
